タイトル,あらすじ,ジャンル
新・湘南爆走族 荒くれKNIGHT,"善波七五十率いる暴走族""輪蛇""のメンバーが、謎の集団に襲われた。猛者達が次々と倒され、襲撃はエスカレート。そんな中、新入りの春間の前に、旧友が現れる。",青春・学園アニメ
るろうに剣心 -明治剣客浪漫譚-,人を斬ることを自らに堅く禁じた抜刀斎は、その刀を「逆刃刀」に持ち変え、流浪人･緋村剣心と名乗り、弱い立場の者を救い本当の意味での維新を成し遂げるため、現れる。,週刊少年ジャンプが原作のアニメ
機動戦士ガンダム 第08MS小隊,"人気シリーズ「一年戦争」のサイドストーリー。""第08MS小隊""の戦いを、小隊長シローとジオン軍パイロット・アイナの敵味方を越えた絆とともに描く。",ロボット・サイボーグアニメ
地獄先生ぬ～べ～,"クラスの担任・ぬ〜べ〜は、ちょっとドジな愛すべき先生。だが、生徒達が悪霊や妖怪に襲われた時、左手に秘めた""鬼の手""で魔を切り裂く霊能力教師となる!",コメディ・ギャグアニメ
ドラゴンボール 最強への道,7つそろうと願いごとがかなうというドラゴンボールを求め、旅に出た悟空とブルマ。その先には、ワクワクするような出会いと白熱のバトルが待ち受けていた!,国内アクション・アドベンチャー
Ghost in the Shell/攻殻機動隊,"西暦2029年。精鋭サイボーグによる超法規特殊部隊、公安9課・攻殻機動隊に、国際手配中の凄腕ハッカー""人形使い""が日本に現れたという情報が届く。",ロボット・サイボーグアニメ
新世紀エヴァンゲリオン,"大災害""セカンドインパクト""から15年後、碇シンジは汎用人型決戦兵器に乗って謎の生命体""使徒""と戦うことを命じられる。人類の命運は、少年達の戦いに託された。",ロボット・サイボーグアニメ
ドラゴンボールZ 龍拳爆発!! 悟空がやらねば誰がやる,伝説の勇者タピオンの復活と同時に、太古の幻魔人ヒルデガーンのふういんも解かれてしまった。このおそろしいかいぶつに、悟空達は一体どう立ち向かうのか!?,国内アクション・アドベンチャー
ドラゴンボールZ 復活のフュージョン!! 悟空とベジータ,かいぶつジャネンバがあの世の閻魔宮で大暴れし、退治に向かった悟空はあまりの強さに大ピンチ。こうなったら、ベジータの力を借りてフュージョンするしかない。,国内アクション・アドベンチャー
美少女戦士セーラームーンSuper S セーラー9戦士集結! ブラック・ドリーム・ホールの奇跡,ちびうさと大勢の子供達がさらわれた! 犯人は、世界をブラック・ドリーム・ホールで包もうとするバディヤーヌ。世界とちびうさを救うため、セーラー戦士出動!,キッズアニメ
ルパン三世TVSP#07 ハリマオの財宝を追え!!,英雄ハリマオの財宝を狙うルパンと次元は、英国貴族とその孫娘と財宝の鍵を奪い合う。だが、謎の武装カルト集団が争奪戦に介入。お宝を手にするのは一体誰だ!?,アクションアニメ
スラムダンク 湘北最大の危機! 燃えろ桜木花道,全国大会出場に向けて、後がない湘北バスケ部。新設校の緑風高校と練習試合をするが、手強い相手に予想外の大苦戦。練習試合とはいえ、敗北は絶対に許されない。,スポーツアニメ
ロミオの青い空,家族を助けるため、自らを人買いに売りミラノで煙突掃除の仕事をすることになったロミオ。親友のアルフレドや仲間たちは、強い友情で結ばれた煙突掃除の兄弟だ!,歴史アニメ
ドラゴンボールZ 超戦士撃破!! 勝つのはオレだ,最強戦士、ブロリーは、確かに死んだはずだった。だが、ブロリーはバイオ戦士として復活し、悟天達におそいかかる。小さな超サイヤ人達が、強敵に立ち向かう!,国内アクション・アドベンチャー
ドラゴンボールZ 危険なふたり! 超戦士はねむれない,"ドラゴンボールを探す悟天とトランクスの""気""が、伝説の超サイヤ人ブロリーを目覚めさせた。ふくしゅうに燃えるブロリーが、おそろしいパワーでおそいかかる!",国内アクション・アドベンチャー
七つの海のティコ,ナナミは海洋学者の父と船に乗り、伝説のヒカリクジラを探して世界中をかけめぐる。悪だくみをするライバルには負けられない! ぼうけんは、海の果てまで続く!,キッズTV番組
ママレード・ボーイ,旅行から戻った両親に突然の離婚を告げられる高校生の光希。しかも旅先で知り合った夫妻とその息子を迎えて、6人で同居を始めるというのだからもう大変!,恋愛アニメ
ルパン三世TVSP#06 燃えよ斬鉄剣,タイタニック号に眠る龍の置物を入手するため深海に潜るルパンたち。だがなぜか五ェ門に置き物を渡せと迫られる。実は置物と斬鉄剣には、ある秘密が隠されていた。,コメディ・ギャグアニメ
Slam Dunk,不良高校生の桜木花道、バスケ部へ入部! そこは、今までの勝手が通じない超体育会系の世界。一癖も二癖もある仲間達に囲まれて、全国制覇を目指して悪戦苦闘!,スポーツアニメ
ドラゴンボールZ 燃えつきろ!! 熱戦・烈戦・超激戦,悟空が界王から知らされる、新たな宇宙の危機。なんと、南の銀河が伝説の超サイヤ人にはかいされたという。ベジータは、新しい王になるよう説得されるのだが…。,国内アクション・アドベンチャー
ドラゴンボールZ 銀河ギリギリ!! ぶっちぎりの凄い奴,悟飯と仲間達は天下一大武道大会に出場するが、出場者の中には銀河の支配をたくらむボージャック一味がまぎれこんでいた。悪の野望から地球を守る戦いが始まる。,国内アクション・アドベンチャー
ルパン三世TVSP#05 ルパン暗殺指令,銭形がルパン捜査を解任され、後任には危険な男が。一方、ルパンは今度のターゲットを密売企業の貯蔵金に決定。だが、ルパン一味を狙って、魔の手が迫っていた。,アクションアニメ
クレヨンしんちゃん,イタズラ大好きでナマイキ盛りの幼稚園児・野原しんのすけ。彼が巻き起こす騒動と、ふりまわされる大人たちの毎日を、ギャグをまじえて描いたアニメ。,コメディ・ギャグアニメ
幽☆遊☆白書,不良少年の浦飯幽助は交通事故で死んでしまうが、これが人生の終わりではなかった。幽助は霊界探偵としてよみがえり、奇々怪々な事件と数々の強敵に立ち向かう!,週刊少年ジャンプが原作のアニメ
ドラゴンボールZ 激突!! 100億パワーの戦士たち,悟空と仲間達の前に立ちはだかる、ロボット軍団を使って星をおそう正体不明の星と、たおしたはずのかつての強敵。宇宙をゆるがすほどの、空前のバトルが始まる!,ロボット・サイボーグアニメ
ジャイアント ロボ THE ANIMATION 地球が静止する日,地球静止作戦を策謀する謎の秘密結社BF団と、これに立ち向かう国際警察機構エキスパートたちとの熱い戦いを描くアニメ。原作は往年の名作ロボット漫画。,ロボット・サイボーグアニメ
ドラゴンボールZ 極限バトル!! 三大超サイヤ人,ドクター・ゲロが完成させた最強の人造人間13号、14号、15号が大暴れし、このままでは地球が乗っ取られてしまう。この強敵を止められるのは、悟空達しかいない!,ロボット・サイボーグアニメ
ルパン三世TVSP#04 ロシアより愛をこめて,ロマノフ王朝最後の皇帝一家が恩人に託した500トンの金塊。強奪を狙うルパンを正体不明の2人組が追う。彼らを操っていたのはラスプートンと名乗る怪僧だった。,アクションアニメ
機動戦士ガンダム 0083 STARDUST MEMORY,一年戦争からグリプス戦役までの7年間に、何があったのか? 連邦軍のコウ・ウラキとジオン軍のアナベル・ガトーの対決を軸に、新型モビルスーツ強奪事件に迫る。,ロボット・サイボーグアニメ
機動戦士ガンダムF91 完全版,宇宙世紀0123、クロスボーン・バンガードの部隊がコロニーを襲撃。高校生のシーブック・アノーは、連邦軍のガンダムF91のパイロットとして戦場に駆り出される。,国内SF・ファンタジー
ルパン三世TVSP#03 ナポレオンの辞書を奪え,銭形を始め世界中の捜査官がルパンを追跡し出した理由、それは首脳達が狙うルパン帝国の財宝だった。その在りかを示すナポレオンの辞書をルパン自身もまた追う。,アクションアニメ
ドラゴンボールZ とびっきりの最強対最強,ナメック星からもどった悟空の前に現れた新たな強敵は、フリーザの兄、クウラ。クウラはサイヤ人をぜんめつさせようと大暴れし、悟空達は絶体絶命の大ピンチに!,国内アクション・アドベンチャー
ドラゴンボールZ 超サイヤ人だ孫悟空,なぞの星が地球にぶつかるのを防ごうとする悟空とクリリンの前に現れたのは、悪の超ナメック星人のスラッグ。地球の支配をたくらむ悪には、絶対に負けられない。,週刊少年ジャンプが原作のアニメ
ふしぎの海のナディア,発明好きの少年とサーカスで育った謎の少女は、ひょんなことから海の大冒険へと旅立つ。その旅の先には、手に負えそうもない出来事が待ち受けていた!,SF・ファンタジーアニメ
劇場用映画 ちびまる子ちゃん 大野君と杉山君,席替えが行われ、まる子は大野と杉山と同じ班になった。2人は少し暴れんぼうだけど、仲が良い名コンビ。ところが、大野と杉山は、運動会で大ゲンカしてしまう。,コメディ・ギャグアニメ
機動警察パトレイバー NEW OVA,第2小隊の宿敵グリフォンが、パワーアップして復活。兵器ディーラーがレイバーの技術と情報を狙う一方で、グリフォンのパイロットは決着の時を待ち望んでいた。,SF・サイバーパンク
ルパン三世TVSP#02 ヘミングウェイ・ペーパーの謎,財宝の在りかが記されたヘミングウェイの遺稿を求め、コルカカ島へ赴いたルパン。だがそこにはクーデター軍に雇われた次元と、大統領を護衛する五ェ門の姿が。,アクションアニメ
ドラゴンボールZ 地球まるごと超決戦,宇宙のこわし屋ターレス軍団が神精樹の種を地球に植え、その実でパワーアップしようとしている。地球が栄養を吸われるのを止めるため、悟空達は戦いをいどむ!,国内アクション・アドベンチャー
ドラゴンボールZ この世で一番強いヤツ,脳だけで生きる悪の天才科学者Dr.ウィローは長いねむりから目覚め、この世で一番強いヤツの肉体を求めて亀仙人とピッコロを手にかける。悪の野望を止めろ、悟空!,国内アクション・アドベンチャー
ドラゴンボールＺ,天下一武道会の壮絶な戦いから5年。結婚して息子も生まれた悟空は幸せな日々を送っていた。そんな矢先、地球を略奪しようと企む異星人が宇宙からやってくる。,SF・ファンタジーアニメ
笑ゥせぇるすまん (89～93年)【デジタルリマスター版】,"謎のセールスマン・喪黒福造の仕事は、虚しさや苛立ちを抱える人の""心のスキマ""を埋めること。代金はいただきません。ただし、約束はくれぐれもお守りください…。",漫画が原作のアニメ
らんま1/2 デジタルリマスター版,道場は私が守る! はずが、父に勝手に許婚を決められた少女。だが跡継ぎに指名された少年は池の呪いにより、水をかぶると女に変身してしまう特異体質だった!?,コメディ・ギャグアニメ
機動警察パトレイバー ON TELEVISION,巨大な作業用ロボット、レイバーが普及する一方、レイバーによる犯罪が急増。警察はパトロール・レイバー中隊を創設し、個性豊かな隊員達が難事件に立ち向かう!,ロボット・サイボーグアニメ
ルパン三世TVSP#01 バイバイ・リバティー・危機一発!,"情報ネットワークの進化による現実に直面し、引退を考えるルパンに舞い込んだ次元からの仕事。今度の獲物は、自由の女神に隠されたダイヤ""スーパーエッグ""だ。",アクションアニメ
ドラゴンボールZ 絶望への反抗!! 残された超戦士・悟飯とトランクス,悟空が亡くなって半年。悪魔のような人造人間が現れる。息子の悟飯やZ戦士は勇敢に立ち向かうが苦戦。決意の固いトランクスとともに、悟飯は地球を救えるのか?,SF・ファンタジーアニメ
ドラゴンボールZ,ガーリックJr.にゆうかいされてしまった悟飯。敵のねらいは、ドラゴンボールを使って神様にふくしゅうを果たすことだった。悟空のいかりが、悪の野望を打ち破る!,国内アクション・アドベンチャー
ピーターパンの冒険,夢の国ネバーランドの住人で、大人になることのない永遠の少年ピーターパン。ある時ウェンディと弟のジョン、マイケルを連れて空を飛び、ネバーランドへ。,キッズTV番組
3丁目物語 うちのタマ知りませんか?,タマは好奇心いっぱいのネコ。3丁目で飼い主のタケシくんや、おさななじみの犬のポチなどたくさんのなかまたちといっしょに暮らしている。今日も良いこと、ありそうだ!,キッズTV番組
AKIRA,人気コミックのアニメ化作品。第三次世界大戦後に崩壊し、復興されたネオ東京。突如、軍の施設に連れて行かれた暴走族の友人を救うため、仲間たちが立ち上がる。,国内SF・ファンタジー
美味しんぼ【デジタルリマスター版】,"東西新聞文化部のやる気溢れる新人記者と、厄介者扱いされているぐうたら記者が""究極のメニュー""の企画を任された。社運をかけた最高級の料理とは。",アニメ
機動戦士ガンダム　逆襲のシャア,シャアは新生ネオ・ジオン軍を率い、地球連邦政府に宣戦布告。宿敵の野望を砕くべく、アムロは新型ガンダムで出撃する。長きに渡る2人の因縁、ついに最終決着。,国内SF・ファンタジー
機動警察パトレイバー アーリーデイズ,創設間もない特車二課第2小隊に配属された、新米警官の泉野明。個性派ぞろいの隊員達と共に巨大な作業用ロボット、レイバーを使った犯罪と戦い、成長してゆく。,ロボット・サイボーグアニメ
ドラゴンボール 摩訶不思議大冒険,亀仙人のもとで修行を積んだ悟空とクリリンは、ミーファン帝国で開かれる大武道大会に参加することに。ドラゴンボールをめぐる、不思議なぼうけんが幕を開ける。,国内アクション・アドベンチャー
王立宇宙軍 オネアミスの翼,ただ漠然と毎日を過ごす宇宙軍の兵士シロツグは、ある少女との出会いをきっかけに宇宙パイロットに志願する。幾つもの壁を乗り越え、まだ見ぬ宇宙を目指すが…。,国内SF・ファンタジー
タッチ3 君が通り過ぎたあとに -DON'T PASS ME BY-,高校3年生になった達也が猛練習に励む中、南も野球部のマネージャーとして奮闘。そんな中、明青野球部に恨みを持つ代理監督が就任。地獄のようなシゴキが始まる。,スポーツアニメ
ドラゴンボール 魔神城のねむり姫,弟子になりたければ、はるか遠くの魔神城からねむり姫を連れ帰れ。亀仙人から試練をあたえられた悟空は、同じく弟子入りをねらうクリリンと城へ乗りこむが…。,国内アクション・アドベンチャー
ドラゴンボール,孫悟空とブルマ、2人の少年少女は冒険の旅へ出発。目指すは、7つ揃えればどんな願いでも叶うというドラゴンボール。摩訶不思議アドベンチャーが幕を開ける。,週刊少年ジャンプが原作のアニメ
聖闘士星矢,この世に邪悪がはびこるとき、必ずや現れるという希望の闘士・聖闘士。女神アテナを守り、世界を救うため、聖衣を纏う聖闘士たちが邪悪な力に立ち向かう。,SF・ファンタジーアニメ
湘南爆走族,湘南爆走族の二代目リーダー江口洋助、得意なものは手芸と喧嘩。大切なものを守るためなら、男の意地は曲げられない。たった一度の青春を大爆走で駆け抜ける!,青春・学園アニメ
ドラゴンボール 神龍の伝説,ぜいたくなグルメス王に苦しめられる王国の国民達。最高においしい食べ物を求めてドラゴンボールを探すグルメス王の横暴を止めるため、悟空は王国に乗りこむ!,国内アクション・アドベンチャー
タッチ2 さよならの贈り物,突然事故で命を落とした双子の弟・和也に代わって、達也は黙々と野球に打ち込み始める。一方、新体操部に入部した南は大会で優勝を果たし、一躍スターに。,スポーツアニメ
タッチ 背番号のないエース,上杉家の双子の兄弟、達也と和也、そして幼なじみの浅倉南。夢と希望に胸を膨らませ、高校生活をスタートさせた3人を、思いもかけない運命が待ち受ける。,スポーツアニメ
機動戦士Zガンダム,ガンダムパイロットとして史上最高の能力を秘めたカミーユ。反政府組織と共に挑むのは、猛然たる地球連合軍の精鋭部隊ティターンズ。新たな戦いが今、始まる。,ロボット・サイボーグアニメ
タッチ,野球部のエースとして活躍する和也、何事にもいい加減な双子の兄、そして隣人の少女の3人は幼い頃からいつも一緒。思春期まっただ中の彼らが織りなす青春物語。,スポーツアニメ
小公女セーラ,寄宿学校に入学した裕福な少女の生活は、父親の死と事業破綻により一変。貧しく不幸な暮らしを余儀なくされるが、真の友人を得、気高く生きていく姿を描く物語。,キッズTV番組
三国志,乱世の中国で大軍を率い、覇権を握ろうと猛進する曹操孟徳(もうとく)。劉備玄徳は義兄弟である2人の将・関羽と張飛と共に、平和な国を作ろうと戦っていた。,歴史・時代劇
北斗の拳,核戦争により文明と秩序が崩壊した世界。伝説の北斗神拳を武器に、暴力で民を支配する悪党に怒りの拳を振るう救世主・ケンシロウの生き様と死闘を描く。,主人公最強アニメ
未来少年コナン: 巨大機ギガントの復活,大半の人類と文明を滅ぼした最終戦争後の世界。太陽エネルギーを悪用しようとするレプカ一味に誘拐されたラナ。コナンと仲間が力をあわせて悪に立ち向かう。,キッズ・ファミリー映画
ときめきトゥナイト,クラスの不良少年・真壁俊に一目ぼれしたランゼは、人間との恋を禁じられた魔界人。かみついた相手に変身する能力を持つランゼのドキドキ学園生活が始まる!,コメディ・ギャグアニメ
劇場版 機動戦士ガンダムIII めぐりあい宇宙編,宇宙へ出たアムロを待ち受ける運命の出会い、そして永遠の別れ。連邦とジオンの苛烈な戦いは、ついに最終局面へ。数多の命が散った戦いの果てにあるものとは…。,ロボット・サイボーグアニメ
パタリロ!,南の楽園の若き国王は、小さな体に超人的な生命力と反射神経を秘めている。さらには頭も天才的。でも性格は…。豊かな国力をねらう悪党から国を守るため大活躍。,コメディ・ギャグアニメ
スペース アドベンチャー コブラ,賞金稼ぎで、ある星の女王の末裔でもあるジェーンは、宇宙海賊コブラと共に3つ子の姉妹を探しに行く。銀河を救うため、自分の星を取り戻そうとするが...。,国内SF・ファンタジー
劇場版 機動戦士ガンダム,宇宙世紀0079、ジオン軍は、連邦軍が開発中のモビルスーツ・ガンダムを狙い、サイド7に侵入。アムロ・レイはガンダムのパイロットとして戦争に巻き込まれる。,国内SF・ファンタジー
劇場版 機動戦士ガンダムII 哀・戦士編,地球連邦軍の揚陸艦ホワイトベースと、ガンダムに乗りこむアムロ・レイは壮絶な戦いの後、なんとか地球へ帰還する。だがシャア率いるジオン軍は容赦がなかった。,国内SF・ファンタジー
じゃりン子チエ 劇場版,バクチ打ちの父に代わり、ホルモン焼き屋をひとりで切り盛りする元気な小学生5年生チエ。そんな少女の夢は、別居中の母親と3人でまた仲良く一緒に暮らすこと。,コメディ・ギャグアニメ
家族ロビンソン漂流記 ふしぎな島のフローネ,好奇心旺盛な少女フローネとその家族はオーストラリアに向かう途中、船が座礁して無人島に漂着。大自然の中、一家は力を合わせてサバイバル生活を送る。,キッズTV番組
あしたのジョー2,力石徹亡き後、姿を消していた矢吹丈が再びリングに立つ。数々の死闘の末、ついにたどり着いたホセ・メンドーサとのタイトルマッチ。燃え尽きるまで戦え!,スポーツアニメ
機動戦士ガンダム,宇宙世紀0079。ジオン公国の強襲に遭い、地球連邦の新鋭モビルスーツを偶然にも操るのは少年アムロ・レイだった。ロボットアニメの金字塔が今、ここに蘇る!,ロボット・サイボーグアニメ
赤毛のアン,農場に引き取られた孤児の少女が、持ち前の想像力で平和な村に愉快な事件を巻き起していく。友情や信頼を築きながら夢を追い、成長していく少女の姿を描いた物語。,歴史・時代劇
銀河鉄道999,母を殺された貧しい少年・鉄郎は、謎の女性メーテルと一緒に銀河鉄道999に乗り込む。鉄郎の望みは機械の体を手に入れ、母の復讐を果たすことだった。,国内SF・ファンタジー
未来少年コナン,21世紀、壊滅的な戦争で人類の大半は死滅、ごく少数の生存者は島々に点在していた。少年コナンが地球の未来をかけて悪に立ち向かう。,キッズTV番組
ペリーヌ物語,おじいさんの家を目指して、旅をするペリーヌたち。おじいさんがペリーヌの両親をきらっていると知ると、孫だと知らせずにおじいさんの工場で働くことに…。,キッズTV番組
未来少年コナン[劇場版],大半の人類と文明を滅ぼした最終戦争後の世界で生まれた少年コナン。仲間たちと力をあわせて、地球征服を目論む悪に立ち向かう。,キッズアニメ
パンダコパンダ,おばあちゃんが遠くに出かけてしまい、留守中たった1人で暮らしていた少女ミミ子。ある日、子パンダと父のパパンダがやってきて、おかしく楽しい共同生活が始まる。,キッズ・ファミリー映画
ルパン三世,神出鬼没の大泥棒・ルパン三世参上! 仲間の次元、五ェ門、不二子と共に、狙った獲物は必ず奪う。因縁の銭形警部も暗黒街の強敵も、誰もルパンを止められない!,アクションアニメ
