タイトル,あらすじ,ジャンル
ガイコツ書店員 本田さん,本田さんはガイコツの姿をした書店員。人気書店のコミック売り場を舞台に、ネガティブ思考の本田さんが、個性的な12人の同僚たちと共に日々の業務に挑む。,コメディ・ギャグアニメ
イナズマイレブン アレスの天秤,サッカー部が無くなる危機に直面した伊那国島のサッカー少年達。部を救うためには、実力を証明するしか無い! 新生・雷門イレブンとして、明日の勝利をつかめ!,ビデオゲームが原作のアニメ
魔法少女 俺,トップアイドルの桃拾に恋する、駆け出しアイドルのさき。彼を守りたいという願いが奇跡を起こし、さきは魔法少女に変身! その姿は、予想とはかけ離れていた…。,コメディ・ギャグアニメ
深夜! 天才バカボン,独特な面白さで愛されてきたバカボンとおバカなパパコンビが、ユーモアの新境地へ到達する! 現代事情に鋭く切り込む、これまでとは一味違ったバカボン誕生!,コメディ・ギャグアニメ
デジモンアドベンチャーtri. 第6章「ぼくらの未来」,現実世界がデジタルワールドにのみこまれようとしている! 絶望がせまる中、イグドラシルの支配を食い止めるため、選ばれし子どもたちは必死の戦いを続ける。,ビデオゲームが原作のアニメ
ラディアン,"魔法使い見習いのセトは、空から来る怪物、ネメシスの根絶を決意。ネメシスの巣があるという伝説の地""ラディアン""を探す旅に出発し、世界を救う大冒険が始まる!",2018年アニメ
賭ケグルイ,ギャンブルに支配された名門百花王学園に転校してきた麗しの美少女、蛇喰夢子。リスクを負うことに快感を覚えるギャンブラーたちの、狂おしき真剣勝負が始まる。,サスペンス・ホラーアニメ
悪魔城ドラキュラ －キャッスルヴァニア－,吸血鬼ドラキュラと恐ろしき怪物の魔の手が街に迫る。体に眠る英雄の血に導かれし青年は、邪悪な力を止められるのか。大人気ゲームを原案としたアニメシリーズ。,ビデオゲームが原作のアニメ
バイオハザード: ヴェンデッタ,復しゅうに燃える武器商人が、ゾンビウィルスを使ったバイオテロを画策。戦士達は力を合わせ、この世界の危機に立ち向かう。大人気ゲームのフルCGアニメ第3弾。,国内SF・ファンタジー
Fate/Apocrypha,冬木の街で執り行われていた、七人の魔術師と英霊たちによる「聖杯戦争」。しかし、その聖杯が強奪され、英霊十四騎によるかつてない規模の戦争―「聖杯大戦」が勃発する。,ビデオゲームが原作のアニメ
BLAME!,正常な機能を失い暴走する巨大階層都市で抹殺される人類。孤独な旅人・霧亥は、人類の生き残りを賭け、かろうじて生き延びていた村人たちと共に戦うことを誓う。,国内SF・ファンタジー
Cyborg 009: Call of Justice,"使命から離れ、隠遁生活を送るサイボーグ戦士たち。だが、異能者集団""ブレスド""が、再び不穏な動きを見せ始めた時、安息の地を捨て新たな戦乱へと身を投じる。",ロボット・サイボーグアニメ
ベイブレードバースト ゴッド,スペインの名門クラブにスカウトされた蒼井バルトは、日本を飛び出してスペインへ。ワールドリーグ出場を目指し、仲間といっしょにヨーロッパリーグで大暴れだ!,2017年アニメ
