タイトル,あらすじ,ジャンル
300〈スリーハンドレッド〉,フランク･ミラーのグラフィック･ノベルに描かれた『テルモピュライの戦い』を映画化。100万の軍勢を率いるペルシア王クセルクセスに真っ向勝負を挑んだのは、スパルタの王レオニダスとわずか300名の屈強な戦士たちだった。,"アドベンチャー,アクション,史劇"
"アイ, ロボット",2035年のシカゴ。ロボットは人間の日常生活に欠かせない存在となっており、人間とロボットの共存は、3原則によって守られていた。一. ロボットは、人間に危害を加えてはならない。一. ロボットは、人間から与えられた命令に服従しなければならない。一. ロボットは、前掲第一条及び第二条に反する恐れのない限り、自己を守らなければならない。ある日、ロボット開発の権威である科学者が謎の死を遂げる。その死にロボットの関与を疑ったスプーナー刑事は、ロボット心理学者カルヴィン博士の協力のもと、その謎を究明していく。そして、想像を絶する恐ろしくも巨大な陰謀に巻き込まれていくのであった…。,"SF,アクション,サスペンス／ミステリー"
ラ･ラ･ランド,夢を叶えたい人々が集まる街、ロサンゼルス。映画スタジオのカフェで働くミアは女優を目指していたが、何度オーディションを受けても落ちてばかり。ある日、ミアは場末の店で、あるピアニストの演奏に魅せられる。彼の名はセブ (セバスチャン)、いつか自分の店を持ち、大好きなジャズを思う存分演奏したいと願っていた。やがて二人は恋におち、互いの夢を応援し合う。しかし、セブが店の資金作りのために入ったバンドが成功したことから、二人の心はすれ違いはじめる…。,"恋愛,音楽／ライブ"
イット･フォローズ,19歳のジェイは男と一夜をともにするが、その後、男が豹変。縛り付けられたジェイは「“それ”に殺される前に誰かにうつせ」と命令される。“それ”は人にうつすことができる。“それ”はうつされた者にしか見えない。“それ”はゆっくりと歩いて近づいてくる。“それ”はうつし相手が死んだら自分に戻ってくる。そして、“それ”に捕まったら必ず死が待っている。果たしてジェイは、いつ、どこで現れるかわからない“それ”の恐怖から逃げきることが出来るのかー。,"ホラー,サスペンス／ミステリー,青春"
WILD CARD／ワイルドカード,ラスベガスの裏社会で用心棒を生業とする元エリート兵士のニック。ある日、何者かに酷い暴行を受け瀕死の重傷を負った元恋人から、正体を突き止めて復讐してほしいとの依頼が舞い込む。ラスベガスの表も裏社会も熟知しているニックは、すぐさま犯人を見つけ出し、脅威のスキルで瞬く間に依頼を完遂させる。しかし、犯人の背後には、強大な権力でラスベガスを掌握する凶悪マフィアの存在が…。,"アクション,サスペンス／ミステリー"
ホーム･アローン,パリでクリスマスを過ごそうと飛行機に乗り込んだ15人の大家族。だが、飛行機の中で思い出した大事な忘れ物は…8歳のケビンだった! 家に取り残されたケビンは、一人の自由を思う存分楽しんでいたが、そこに2人組の泥棒が現れて…?,"コメディ,ファミリー,キッズ"
カンフー･パンダ2,ジャック･ブラックの世界一有名なパンダが帰ってきた! ドリーム･ワークス･アニメーションの「カンフー･パンダ2」は楽しさも最高。アカデミー賞にノミネートされた1作目に続く“期待どおり”の2作目“(スコット･ボウルズ、USAトゥデイ) だ。ポーが迎える、龍の戦士になって以来初の大きな試練。ポーの仲間たち、マスター･ファイブと共にかつてない強敵を倒す旅に出ることに。目が離せなくなる冒険にはノンストップアクションとすばらしい物語、美しいアニメーションがぎっしり詰まっている。,"キッズ,アニメ,アクション"
イントゥ･ザ･ストーム,アメリカ中西部の街シルバートン。この日、ゲイリーが教頭を務める高校では卒業式が行われようとしていた。一方、竜巻の撮影に執念を燃やすストーム･チェイサー･チームのメンバーで気象学者のアリソンは、シルバートンの気象状況にかつてない巨大竜巻の可能性を見出す。さっそく一行は、特別仕様の装甲車“タイタス”に乗り現地へと向かう。そんな中、ついに想像を絶する巨大竜巻が発生し、シルバートンの街を襲う。卒業式を中断し、避難する生徒や父兄の誘導に追われるゲイリー。やがてその中にいるはずの息子ドニーの姿がないことに気づく…。,"アクション,パニック"
スノーデン,2004年、9.11後の対テロ戦争を進める祖国アメリカに貢献したいと考えて軍に志願入隊したスノーデンが、足に大怪我を負って除隊を余儀なくされる。失意のさなかCIAに採用された彼は、持ち前のずば抜けたコンピュータの知識を教官に認められ、2007年にスイス･ジュネーヴへ派遣された。そこで目の当たりにしたのは、アメリカ政府が対テロ諜報活動の名のもと、世界中のメール、チャット、SNSを監視し、膨大な情報を収集している実態だった。やがてNSAのスタッフとして東京の横田基地、ハワイのCIA工作センターへと赴任し、民主主義と個人の自由を揺るがす政府への不信をいっそう募らせたスノーデンは、恋人のリンゼイをハワイの自宅に残し、命がけの告発に踏みきるのだった…。,"サスペンス／ミステリー,ヒューマンドラマ"
カンフー･パンダ,カンフーを愛する心は人一倍、でもカンフー･マスターなんて夢見るだけのポーは、師匠のシーフー老師、憧れのカンフーの達人「マスター･ファイブ」の力を借りながら、厳しい特訓を受け成長していく。,"キッズ,アニメ,アクション"
パラノーマル･アクティビティ,平凡な一軒家に暮らす若いカップルは、毎晩寝付いた後に家の中で起こる奇怪な現象に悩まされていた。二人はその原因を突き止めるため、生活の一部始終をビデオカメラで撮影することにするのだが、翌朝、ビデオには衝撃の映像が映っていた…。,ホラー
チェンジング･レーン,裁判に遅刻しそうな弁護士が、車の間を縫うように走っていた。別の車線では、1人の父親が別居中の子供に会う権利を得るため、やはり裁判所に向かっていた。そんな2人がささいな接触事故を起こす。そして互いへの怒りを募らせていくが…。,"サスペンス／ミステリー,ヒューマンドラマ"
AVP2 エイリアンズVS.プレデター,南極での死闘を終えたプレデターの宇宙船では、すでに次なる戦いへの火種が生じていた。一体のプレデターからチェストバスター (エイリアンの幼体) が誕生し、両者の能力を併せ持つ“プレデリアン”へと成長、プレデターたちを次々に惨殺していく。そしてコントロール不能となった宇宙船はコロラドの森へ墜落。すると、プレデリアンのほか、船内に潜んでいたエイリアンたちが獲物を求め飛び出していくのだった。一方、船の異変を知ったプレデター側も、エイリアンの駆逐を生業とするニュー･プレデター“ザ･クリーナー”が地球へと乗り込んでくる。こうして、再び2大モンスターの激闘が始まり、地元の人間たちはこの凄惨な戦いに巻き込まれてしまうのだが…。,"SF,ホラー,アクション"
PARKER／パーカー,犯行の為だけに集められた4人と組み、大金が集まるステート･フェアを襲撃したパーカー。見事強奪に成功するも、4人組はパーカーに瀕死の重傷を負わせ分け前を奪って逃走。なんとか一命を取り留め報復計画を企てたパーカーは、4人組の追跡中に出会ったレスリーを巻き込み、壮絶な復讐劇を開始する。しかし、その背後には、彼の命を狙う最凶の刺客が息を潜めていた。,"アクション,サスペンス／ミステリー"
ターミネーター The Terminator,ジェームズ･キャメロン監督の記念すべき出世作! アーノルド･シュワルツェネッガー主演の言わずと知れたNo.1 SFアクション! 未来の革命リーダーを抹殺せんがため、近未来の地球から送り込まれた殺人サイボーグ、ターミネーター! 彼は革命リーダー、ジョン･コナーの未来の母となる人物サラを探し出し、殺害するために追跡を始める。だがそのターミネーターからサラを守るため、一人の革命戦士･リースが未来からやってきた。不死身の体で追ってくるターミネーターを相手に、サラとリースは死闘を展開するが─!,"SF,アクション"
コラテラル,平凡なタクシー運転手マックス。だがそんな彼が乗せた客は、夜明けまでに5人の殺しを依頼された冷酷非情なプロの殺し屋ヴィンセント。2人の関係は、やがて、互いの運命とプライドを賭けた男と男の戦いに発展する…。,"アクション,サスペンス／ミステリー"
ナイト ミュージアム2,ある日、ニューヨークの自然史博物館にいた展示物から元警備員のラリーに電話が入る。その前日、展示物たちはワシントンにある世界最大の博物館スミソニアンの倉庫に移送されたが、不思議な力をもつ“魔法の石板”が一緒に運び込まれてしまったために、新たな博物館であらゆるものが生き返ってしまったというのだ。ラリーはあわててワシントンに飛んだが、ようやく見つけた石板に手を伸ばしたその瞬間、石板は再び光を放ちだした! 新たな魔法により、古代エジプト王がよみがえると、ナポレオンやマフィアを従え世界征服に向けて大暴走! ラリーは伝説の女性パイロット･アメリアと共にライト兄弟の飛行機に乗り込み、リンカーンの石像やアインシュタイン人形を味方につけ、仲間とともに立ち上がった!,"ファンタジー,コメディ,キッズ"
