タイトル,あらすじ,ジャンル
ケース39,アカデミー女優レニー･ゼルウィガーが超常現象スリラーに臨む。児童保護局で働くソーシャルワーカーのエミリーは、不幸な家庭環境に暮らす少女リリーを自らの家に迎え入れる。奇妙で不可解な過去を持つ少女との生活は死と隣り合わせの悪夢へと一変する。,"ホラー,サスペンス／ミステリー"
モンスターズ／地球外生命体,地球外生命体のサンプルを乗せたNASAの探査機が地球帰還目前にメキシコ上空で大破してしまう。やがて、地球外生命体の増殖が始まり、メキシコの北半分が危険地帯として隔離される事態に。6年後、現地を取材中のカメラマン、コールダーに本社からある指令が出される。それは、メキシコにいる社長の令嬢を無事にアメリカまで送り届けろというもの。危険な陸路での縦断を余儀なくされる2人だったが…。,"SF,アクション,パニック"
地球が静止する日,NYのセントラルパークに巨大な球体が出現。降り立った宇宙からの使者クラトゥが現れた。アメリカ政府は危機対策チームを発足。幼い義理の息子を育てる生物学者ヘレンも召集されるが、地球静止へのカウントダウンは始まっていた! 厳重なる警備網をいとも簡単に破って街へ出たクラトゥは、ヘレンとその息子に接触。二人は衝撃の事実を知る。クラトゥは宇宙から人類へ向けられた最終警告だったのだ。クラトゥの目的は地球を救うこと。そのために彼が成し遂げようとしている衝撃の計画とは?,"SF,アクション,パニック"
マダガスカル3,一緒ならきっと奇跡は起きる!? ヨーロッパで指名手配になったアレックスと3頭の仲間たち。逃げ込んだのはニューヨーク公演を目指すおんぼろサーカス。これでついに故郷に帰れるのか?,"キッズ,アニメ,ファミリー"
マトリックス レボリューションズ,マトリックス･シリーズの完結編。昏睡状態となり現実とマトリックスの中間地点を漂うネオのシーンから始まる。彼を救うためトリニティーらは、マトリックス内でメロビンジアンの一派と戦う。マシン軍団はザイオンに迫り、ついにマシンと人間の大戦争が始まった!,"アクション,SF,サスペンス／ミステリー"
ファンタスティック･フォー：銀河の危機,突如、地球上空に現れた謎の銀色飛行物体! それは、全身銀色に輝く宇宙からの使者〈シルバーサーファー〉であった。各地に異常現象を起こし、彼が現れた惑星は8日間で滅亡してしまうという。彼の本当の目的はいったい何なのか? 米国政府からのミッションを受けて、リード、スー、ジョニー、ベンの4人メンバーからなるファンタスティック･フォーは、この謎の解明、そして地球最大の危機から人類を救うために、今立ち上がった!,"SF,アクション,アドベンチャー"
アメイジング･スパイダーマン2™,スパイダーマンとしてニューヨークの平和を守り、ひとりの男性として恋人グウェンとの愛を育む、忙しくも充実した日々を送っていたピーター･パーカー。しかし、彼の旧友で巨大企業オズコープ社の御曹司であるハリー･オズボーンが街に戻ってきたことから、ピーターの生活は少しずつ狂い始める。一方、オズコープ社に勤める冴えない電気技師マックスは、感電事故に巻き込まれたことで、突如電撃を発する超人･エレクトロに変貌してしまう…! 平凡な青年であることと、スパイダーマンとしての大いなる責任の間で葛藤してきたピーターに、更なる試練が襲い掛かる。,"アクション,SF,アドベンチャー"
特攻野郎Aチーム THE MOVIE,1年前―特殊部隊のメンバーから結成されたAチームの面々が、何者かの謀略により無実の罪で逮捕された。しかしリーダーのハンニバルは、まんまと刑務所からの脱獄に成功し、部下のフェイス、B.A.、マードックと合流する。かくして復活したAチームは、すかさず無実を証明するため行動を開始。ハンニバルが編み出す荒唐無稽な作戦のもと、当局の追跡をかわしながら、自分たちの名誉を汚した黒幕に迫っていく。謎のCIA捜査官や、Aチームの逮捕に執念を燃やす国防犯罪調査局のソーサとの策略合戦が、ド派手に火花を散らす!!,アクション
セックス･アンド･ザ･シティ,世の女性たちを熱狂させた大ヒットTVシリーズの映画化! セックス･コラムニストのキャリーは、理想の男性ミスター･ビッグと一緒に暮らすためアパートを購入し、次いで結婚も決意する。PR会社社長のサマンサは俳優を目指す恋人スミスを売り込むためにL.A.に引っ越し、再婚したシャーロットは中国から養女を迎え念願の母親に。弁護士のミランダは幼い息子と老いた義母を抱え、てんてこまいの日々を送っていたが、彼女たちはキャリーを祝福し結婚式の準備を進める。,"コメディ,恋愛,ヒューマンドラマ"
マダガスカル2,あのオチャメな漂流者たちが帰ってきた! 前作をはるかに超える面白さ。不時着したアフリカ大陸で、前代未聞、抱腹絶倒の大冒険が幕を開ける。,"キッズ,アニメ,ファミリー"
