タイトル,あらすじ,ジャンル
最低。,孤独と退屈に嫌気が差した主婦、人気AV女優、高校生の娘を持つ奔放なシングルマザー。それぞれがAV出演という十字架を背負い、葛藤を抱えて懸命に生きてゆく。,官能的なヒューマンドラマ
傷だらけの悪魔,中学時代に舞のグループからイジメにあっていた詩乃。田舎の高校に転校してもそこそこの人生を送ろうと考えていた舞の前に、復しゅうを誓う詩乃が立ちはだかる。,国内青春・学園
獣道,世間から隔離されて宗教施設で生活してきた後、普通の生活に戻った愛衣は、居場所を探すのに必死。唯一の理解者である亮太もまた、居場所を探す不良少年だった。,ヒューマンドラマ
くも漫。,中川学、29歳、元ニート。就職した自分へのご褒美として風俗へ行ったものの、プレイ中にくも膜下出血を発症して緊急入院。こんなの、家族に言えるはずがない!,実話に基づくヒューマンドラマ
劇場版 動物戦隊ジュウオウジャーVSニンニンジャー 未来からのメッセージ from スーパー戦隊,地球からスーパー戦隊を消そうとたくらむ敵の術中にはまった手裏剣戦隊ニンニンジャー。動物戦隊ジュウオウジャーが悪の妖怪だと思いこみ、バトルをしかけてくる。,キッズ・ファミリー映画
宇宙戦隊キュウレンジャー THE MOVIE ゲース・インダベーの逆襲,きょ大なすい星兵器が地球にぶつかるまで、あと72時間。伝説のはかい神を復活させてすい星をこわすため、キュウレンジャーは宇宙をかけめぐる大ぼうけんへ!,特撮・ヒーロー
暗黒女子,"全校生徒の憧れの的、いつみが謎の死を遂げた。やがて暗いうわさが広がり始めた時、文学サークルの仲間は定例会を開催し、それぞれが""犯人""告発作品を発表する。",犯罪サスペンス
覆面系ノイズ,歌が大好きなニノは、転校先の高校で幼なじみの男の子に再会する。ある日、屋上で熱唱するニノを目にした彼は、自分のバンドのボーカルとしてニノを指名する。,ヒューマンドラマ
光,映画の音声ガイドを制作する美佐子は、弱視の天才カメラマン、中森に出会う。視力を失いゆく彼の言葉や心に触れたことで、美佐子の仕事に変化が生まれてゆく。,ラブロマンス
極道の門,敵対組織の5人の組員の闇討ちにあった若き極道・村田龍治は、たった1人で5人をたたき斬る。5人斬りの勲章を胸に、天性の度量を備えた男は頂上へと歩み始める。,国内アクション・アドベンチャー
蠱毒 ミートボールマシン,人間に寄生する謎の生物により地獄と化した東京。自らも残虐な戦闘マシンに変貌した取り立て屋は、愛する女性を守るため壮絶な殺し合いへと身を投じていく。,国内アクション・アドベンチャー
天使のいる図書館,大学卒業後、地元の図書館で司書として働き始めた吉井さくら。1人の老婦人との出会いを通して、地域の歴史や文化を再発見し、人間として大きく成長していく。,国内映画
イタズラなKiss THE MOVIE 3 ～プロポーズ編～,入江との結婚を夢見ていた琴子だったが、彼は別の女性との縁談を承諾。諦めるしかないと思い金之助とデートをしても、やっぱり思いを断ち切ることはできない!,ラブロマンス
しゃぼん玉,通り魔を繰り返してきた男が、逃亡途中に山深い村に迷い込み老婆スマに出会う。初めは金を盗んで逃げるつもりだったが、世話を焼かれるうち荒んだ心に変化が...。,本が原作のヒューマンドラマ
身体を売ったらサヨウナラ,鈴木リョウコ、29歳。学歴も職歴も申し分ない超エリートでありながら、過去にAVに出演したという過去を持つ女は、昼と夜の世界で矛盾しながらも幸せを願う。,官能的なヒューマンドラマ
